Site,Date,Temp,pH,EC,DO,BOD,COD,SS,TN,TP,TOC,Q
금본A,2016.01.11,2.1,6.4,203,14.9,0.5,2.1,1.2,4.012,0.006,1.2,2.686
금본B,2016.01.11,5,7.5,137,12.6,0.5,2.7,2.1,1.453,0.005,1.5,7.592
금본B1,2016.01.11,1.5,7.2,182,15.1,0.6,1.9,1.3,2.893,0.006,0.9,0.723
금본B2,2016.01.11,2.3,8.3,128,13.6,0.5,1.5,1.1,2.805,0.003,0.8,0.445
금본C,2016.01.11,2.8,8.1,144,14.4,0.5,2.8,0.8,1.872,0.004,1.3,9.293
금본C1,2016.01.11,1.8,8.2,172,15.6,0.5,2,0.3,2.787,0.006,1.1,3.296
금본D,2016.01.11,2.9,7.5,164,14.5,0.5,2.6,0.9,1.95,0.003,1.4,10.358
금본E,2016.01.11,3.5,7.9,181,14.2,0.7,2.8,1.2,2.176,0.003,1.4,14.929
금본F1,2016.01.11,3.2,8,120,13.8,0.5,1.2,0.2,2.904,0.002,0.6,0.094
금본F2,2016.01.11,3.5,8.2,321,15.6,0.5,1.7,2.2,4.324,0.01,0.9,0.898
보청A,2016.01.11,2.2,7.8,341,14.6,0.5,2.4,0.8,1.933,0.008,1.1,1.267
초강A,2016.01.11,3.9,7.7,190,14.6,0.6,2.2,0.8,2.358,0.004,1.2,2.789
초강A1,2016.01.11,3.4,7.5,192,10.8,0.6,1.5,1.6,1.484,0.005,0.8,0.033
금본F,2016.01.12,6.6,8.2,175,11,0.5,2.8,1,1.487,0.005,2.2,1.783
금본F,2016.01.18,5.8,8.2,183,11.9,0.5,5.8,0.9,1.589,0.018,2,1.703
금본A,2016.01.21,0.1,8,431,16.1,0.6,2.5,1.3,4.889,0.016,1.2,2.508
금본B,2016.01.21,3.2,7.8,140,11.9,0.4,2.7,1.2,1.487,0.016,1,7.851
금본B1,2016.01.21,0,8.1,332,15.8,0.5,2.1,1.2,3.984,0.015,0.7,0.909
금본B2,2016.01.21,0.2,7.7,138,14.5,0.4,1.5,0.4,3.26,0.007,0.5,0.34
금본C,2016.01.21,-0.1,7.8,155,16.8,0.6,2.6,0.9,1.94,0.014,1.2,3.923
금본C1,2016.01.21,0.1,7.9,205,16.1,0.6,2.5,0.9,3.317,0.017,1,1.589
금본D,2016.01.21,0.1,7.5,184,15.2,0.6,2.7,0.8,2.406,0.012,1.3,7.673
금본E,2016.01.21,0.3,7.7,200,15.8,0.5,3.4,0.9,2.662,0.012,1.2,14.285
금본F1,2016.01.21,1.2,8,123,13.7,0.4,1.2,0.3,2.995,0.007,0.5,0.055
금본F2,2016.01.21,1.3,7.9,336,16.8,0.4,2,1.4,4.892,0.015,0.5,0.803
보청A,2016.01.21,0.2,7.3,385,16.8,0.7,3,0.7,2.401,0.018,0.9,0.924
초강A,2016.01.21,1.3,7.6,224,15.3,0.4,2.8,0.9,2.767,0.012,1,2.499
초강A1,2016.01.21,2.2,7.7,203,10.3,0.5,1.7,1.2,1.847,0.01,0.6,0.025
금본A,2016.01.26,0,7.7,268,15.1,1.1,2.3,1.2,4.936,0.018,1.1,2.107
금본B,2016.01.26,3.4,7.7,143,15.1,1,3.4,1.4,1.498,0.016,1.5,7.822
금본B1,2016.01.26,0.1,7.9,261,15.2,0.8,2.4,1,4.177,0.012,0.8,0.572
금본B2,2016.01.26,0.1,8.5,135,15,0.5,1.6,0.3,3.069,0.007,0.5,0.327
금본C,2016.01.26,-0.2,8,161,16.8,1.4,2.8,0.6,1.942,0.012,1.4,3.111
금본C1,2016.01.26,0.3,8,239,16.8,1,2.4,0.9,3.635,0.012,1.1,1.261
금본D,2016.01.26,0.3,7.7,182,15.7,1.3,2.1,0.9,2.337,0.011,1.5,9.409
금본E,2016.01.26,1.1,7.5,207,15.8,1.1,3.4,1.2,2.74,0.012,1.4,14.285
금본F1,2016.01.26,1,7.6,134,14.1,0.8,1.1,0.1,3.526,0.002,0.9,0.05
금본F2,2016.01.26,1.2,7.9,341,16.4,0.7,1.7,2.6,4.959,0.015,0.7,0.804
보청A,2016.01.26,0.2,7.5,435,14.8,1,1.8,1.3,2.525,0.024,1.2,0.931
초강A,2016.01.26,2,7.6,248,15.7,0.6,3.2,1.3,3.093,0.016,1.3,2.103
초강A1,2016.01.26,1.5,7.9,202,10.6,1,2,2.7,1.765,0.013,1,0.02
금본F,2016.01.27,4.7,7.9,185,9.4,0.5,3.2,1.3,1.202,0.009,1.8,1.766
금본F,2016.02.01,4.7,7.9,185,9.4,0.4,2.1,0.9,1.381,0.012,1.8,1.715
금본A,2016.02.04,0.2,7.4,252,15.1,1,2.4,1.2,4.205,0.032,1.3,3.07
금본B,2016.02.04,3.1,7.4,143,13.6,1,3.1,5,1.458,0.034,1.7,7.793
금본B1,2016.02.04,0,7.8,277,15.5,0.9,3,1.7,3.83,0.031,1.3,0.838
금본B2,2016.02.04,1.3,7.9,143,15.3,0.4,2.2,0.6,2.846,0.024,1,0.463
금본C,2016.02.04,0.6,7.7,168,15.8,0.6,2.4,0.7,1.997,0.032,1.6,2.727
금본C1,2016.02.04,1.3,7.6,241,16.5,1,3,0.9,4.035,0.028,1.3,1.877
금본D,2016.02.04,1.2,7.7,184,14.5,0.8,2.7,1.3,2.413,0.026,1.7,11.653
금본E,2016.02.04,2.3,7.5,203,14.3,0.8,2.9,1.1,2.396,0.027,1.5,13.039
금본F1,2016.02.04,2.1,8,136,15,0.4,1.4,0.1,3.587,0.021,0.6,0.067
금본F2,2016.02.04,2.4,7.5,342,16,0.7,2.2,2.8,5.116,0.04,0.9,0.93
보청A,2016.02.04,0.8,7.5,393,15.1,0.9,2.8,1.3,1.986,0.033,1.2,0.763
초강A,2016.02.04,2.7,7.6,302,14.7,1,2.6,0.9,2.832,0.034,1.4,2.23
초강A1,2016.02.04,2.5,8.1,194,10.6,0.4,1.8,0.7,1.783,0.027,0.9,0.019
금본A,2016.02.16,1.9,7.5,161,13.1,0.4,3.1,2.3,3.436,0.026,1.5,7.483
금본B,2016.02.16,3.4,8,143,13.7,0.4,3.1,1,1.497,0.016,1.4,8.125
금본B1,2016.02.16,1,7.8,123,13.4,0.5,2.9,1.3,2.294,0.012,1.1,1.79
금본B2,2016.02.16,2.4,8.3,100,14.7,0.4,1.9,0.6,3.122,0.008,0.6,2.969
금본C,2016.02.16,2.6,7.7,136,13.4,0.6,4.2,2,2.016,0.02,1.7,12.759
금본C1,2016.02.16,2.2,7.4,137,14.6,0.6,3.4,1.2,2.381,0.015,1.3,8.493
금본D,2016.02.16,3.6,8.1,219,12.2,0.5,3.7,1.9,2.355,0.017,1.9,19.037
금본E,2016.02.16,3.5,7.6,202,12.2,0.9,4.5,2.2,2.429,0.017,1.9,25.371
금본F1,2016.02.16,2.2,8.1,105,14.3,0.4,2.3,0.8,3.283,0.014,0.9,0.483
금본F2,2016.02.16,3.6,7.2,325,13.9,0.5,2.5,2.1,4.724,0.027,0.8,1
보청A,2016.02.16,2.2,7.8,343,12.7,0.7,4.1,1.7,2.507,0.02,2,1.896
초강A,2016.02.16,4,7.9,209,12.7,1.1,3.6,1.5,2.6,0.021,1.8,4.577
초강A1,2016.02.16,1.7,7.8,173,11.5,0.6,3,0.7,2.343,0.009,1.3,0.125
금본F,2016.02.17,4.8,8,179,14.2,0.8,3.2,1.1,1.267,0.006,1.7,1.863
금본A,2016.02.23,4.1,7.8,185,15.8,0.6,2.6,1.7,3.558,0.01,1.1,3.576
금본B,2016.02.23,5.2,7.5,142,14.9,0.5,2.4,0.5,1.512,0.004,1.3,7.027
금본B1,2016.02.23,3.8,7.8,158,16.8,0.4,2.6,1.1,2.512,0.007,0.9,0.902
금본B2,2016.02.23,5.4,7.9,127,15,0.4,2.1,1.3,2.966,0.005,0.5,1.096
금본C,2016.02.23,4.4,7.7,149,13.3,0.5,2.5,0.8,1.904,0.02,1.2,8.215
금본C1,2016.02.23,4.5,7.5,164,14.5,0.6,2.6,0.6,3.796,0.043,2,3.44
금본D,2016.02.23,5.5,7.6,163,14.1,0.5,2.7,1.1,2.083,0.025,1.2,11.384
금본E,2016.02.23,5.1,8,178,13.2,0.8,2,2.3,2.305,0.011,1.3,15.587
금본F,2016.02.23,4.7,7.7,179,12.6,0.6,2.8,1,1.164,0.005,1.5,1.833
금본F1,2016.02.23,4.2,7.6,118,13.5,0.4,2.4,0.4,2.952,0.009,0.6,0.102
금본F2,2016.02.23,7.5,7.5,327,14.4,0.7,2.9,2.9,4.197,0.026,0.9,0.423
보청A,2016.02.23,4.8,8,372,13.2,0.7,2.5,1.1,1.922,0.011,1.1,1.469
초강A,2016.02.23,4.1,7.5,197,12.7,0.7,3,1.6,2.319,0.011,1.4,2.789
초강A1,2016.02.23,4.7,7,184,11.2,0.4,1.7,0.6,1.773,0.007,0.6,0.091
금본F,2016.03.07,6.2,7.3,247,15.8,1,3,1.4,1.257,0.008,1.7,1.898
금본A,2016.03.09,5.2,7.3,151,13.7,0.7,2.2,2.6,3.724,0.022,1.4,9.818
금본B,2016.03.09,4.4,7.2,147,14.5,0.4,2.8,0.8,1.982,0.01,1.3,7.887
금본B1,2016.03.09,5.8,7.5,109,13.7,0.4,2.2,1.6,2.52,0.02,1,2.708
금본B2,2016.03.09,4.6,7.8,108,14.8,0.4,1.7,1,3.6,0.007,0.7,4.287
금본C,2016.03.09,6.4,7.8,127,12.1,0.4,2.9,1.9,2.835,0.011,1.4,22.039
금본C1,2016.03.09,6,7.5,150,13.2,0.5,2.7,3.1,2.772,0.011,1.2,15.564
금본D,2016.03.09,6.5,7.6,133,11.7,0.4,3,3,3.119,0.012,1.7,35.427
금본E,2016.03.09,7.3,7.4,136,11.1,0.6,4,3.5,3.493,0.016,2.1,49.371
금본F1,2016.03.09,5.5,7.2,106,14.9,0.4,2.2,0.4,3.766,0.011,1.1,0.613
금본F2,2016.03.09,7.2,7.6,303,13.2,0.6,2.4,3.4,4.364,0.03,1.2,1.215
보청A,2016.03.09,6.2,7.3,247,15.8,0.7,4.2,4.3,3.702,0.019,2.3,4.805
초강A,2016.03.09,7,7.7,134,11.3,0.7,4,3.6,3.403,0.02,2.1,11.948
초강A1,2016.03.09,5.6,7.5,146,15.2,0.6,3.1,1.4,3.609,0.006,1.6,0.582
금본A,2016.03.14,4.4,7.9,171,12.6,0.7,2.6,1.6,4.846,0.021,1.1,4.967
금본B,2016.03.14,4.2,7.5,146,14.2,0.4,2.8,1.7,2.462,0.009,1.5,7.775
금본B1,2016.03.14,3.3,8.3,133,13.3,0.5,1.8,1,3.027,0.026,0.9,1.458
금본B2,2016.03.14,4,7.8,93,14.7,1,2.2,2.2,3.081,0.016,1.3,2.751
금본C,2016.03.14,5.7,7.9,150,12.9,0.4,3.6,1.4,3.028,0.013,1.5,8.749
금본C1,2016.03.14,5.6,7.9,182,13.5,0.4,2,2.4,3.421,0.019,1.2,4.745
금본D,2016.03.14,5.5,8,161,14.7,0.4,2.8,1.6,3.428,0.024,1.4,17.86
금본E,2016.03.14,6.7,7.7,164,14.4,0.4,2.9,1.7,3.958,0.016,1.4,23.717
금본F1,2016.03.14,4.3,7.4,123,14.5,0.4,2.1,1.5,4.64,0.011,1,0.236
금본F2,2016.03.14,6.4,7.8,330,13.6,0.5,2.2,2.1,5.458,0.014,0.9,0.849
보청A,2016.03.14,5.8,7.6,301,13.7,0.6,2.8,1.7,3.693,0.011,1.3,2.934
초강A,2016.03.14,5.7,7.8,158,14.9,0.5,3.4,1.5,3.772,0.017,1.5,5.008
초강A1,2016.03.14,4.3,7.8,163,13.4,0.5,2.8,3.6,4.144,0.015,1.4,0.182
금본F,2016.03.16,5.5,7.8,178,13.4,0.5,2.7,1.1,1.449,0.011,1.8,1.863
금본F,2016.03.22,5.9,8.1,183,13.2,0.5,3,1.3,1.409,0.004,2.1,1.85
금본A,2016.03.24,9.1,8.6,190,13,1,3.6,2.8,3.855,0.027,1.7,3.48
금본B,2016.03.24,7.4,7.4,143,12.1,0.2,3.2,1.6,1.951,0.012,1.6,7.435
금본B1,2016.03.24,7.1,8.1,154,14.4,0.5,2.7,1.8,4.069,0.018,1.3,1.057
금본B2,2016.03.24,8.4,7.6,101,12.7,0.5,2.5,1.5,2.101,0.015,1.3,1.28
금본C,2016.03.24,10.9,7.8,147,11.3,0.6,3.7,1.7,1.906,0.007,1.8,7.692
금본C1,2016.03.24,11.3,8.1,160,12.6,0.8,2.8,1.7,2.305,0.022,1.5,2.648
금본D,2016.03.24,10.9,7.6,164,11.5,0.6,3.6,2,2.206,0.018,1.8,14.32
금본E,2016.03.24,12.8,7.6,180,11.6,0.8,4.2,3.5,2.464,0.021,1.9,16.258
금본F1,2016.03.24,9,7.4,120,11.8,0.4,2.1,1.1,2.729,0.018,1.1,0.147
금본F2,2016.03.24,10.2,7.9,317,13.5,0.6,2.9,4.9,4.116,0.019,1.6,0.489
보청A,2016.03.24,10.7,7.6,331,11.6,0.6,3.2,2.8,2.231,0.024,1.7,1.24
초강A,2016.03.24,12.5,7.9,178,11.8,0.8,4,1.6,2.423,0.022,1.8,3.265
초강A1,2016.03.24,8.8,7.8,171,12.1,0.5,2.8,3,2.505,0.014,1.6,0.135
금본F,2016.03.28,6.2,8,186,12.9,0.4,3.3,2.2,4.543,0.009,1.8,1.813
금본A,2016.03.30,11,8,196,12.4,1.2,3.2,2.3,3.372,0.024,1.7,2.923
금본B,2016.03.30,10.7,7.4,142,11.7,0.4,2.1,5.1,2.335,0.01,1,7.272
금본B1,2016.03.30,9.3,8,162,12.9,1.3,2.9,2.6,2.507,0.014,1.5,0.91
금본B2,2016.03.30,9.5,7.5,102,11.9,0.6,2.5,4.5,2.228,0.012,1.3,0.608
금본C,2016.03.30,11,7.7,147,10.9,0.8,3.1,1.8,1.868,0.012,1.6,6.189
금본C1,2016.03.30,12.7,8.3,156,12.4,0.8,3,2.5,2.153,0.021,1.5,2.282
금본D,2016.03.30,12.2,7.8,169,10,0.8,3.1,2.9,1.974,0.015,1.8,12.182
금본E,2016.03.30,13.9,7.7,183,10.5,0.8,3.3,4.8,2.158,0.016,1.8,14.285
금본F1,2016.03.30,11,7.3,123,11.5,0.8,2.8,2.6,1.934,0.013,1.5,0.104
금본F2,2016.03.30,10.2,8.4,338,13.6,0.8,3,5.7,3.71,0.02,1.6,0.27
보청A,2016.03.30,12.1,7.5,355,12,0.9,3,3.4,1.869,0.022,1.6,0.808
초강A,2016.03.30,13.8,7.8,185,10.4,0.9,3.3,3.4,1.846,0.013,1.7,2.789
초강A1,2016.03.30,10.2,7.7,175,11.7,0.7,2.6,3.2,2.177,0.015,1.6,0.102
금본A,2016.04.04,11.9,7.9,207,11.1,1.4,4.1,4.7,4.116,0.034,2,4.143
금본B,2016.04.04,8.9,7.7,141,11,0.4,2.8,1.6,2.226,0.016,1.5,7.925
금본B1,2016.04.04,10.2,7.9,188,11.7,1.8,4.8,4.1,3.136,0.026,2.6,1.41
금본B2,2016.04.04,11,8.1,120,11,0.9,2.5,2.7,2.909,0.019,1.1,0.475
금본C,2016.04.04,13.1,7.7,147,10.1,1,3.3,2.6,2.201,0.021,1.7,2.727
금본C1,2016.04.04,13.1,7.9,164,12.1,1.2,3.4,2.7,2.562,0.028,1.5,2.741
금본D,2016.04.04,13.6,7.7,166,10.4,1,4,3.2,2.392,0.028,2,11.493
금본E,2016.04.04,14.9,7.7,177,10.7,0.8,3.5,2.6,2.221,0.022,1.7,14.285
금본F1,2016.04.04,11.5,7.4,125,10.3,0.6,2.6,0.7,2.255,0.02,1.2,0.142
금본F2,2016.04.04,12.4,8.1,350,11.6,1.5,4.5,4.9,3.227,0.032,2.1,0.14
보청A,2016.04.04,13.1,7.5,335,11.3,1.2,3.5,4.3,2.119,0.031,1.6,1.065
초강A,2016.04.04,14.4,7.8,185,11,0.9,3.6,3.2,1.975,0.023,1.7,2.642
초강A1,2016.04.04,11.1,7.6,184,10.3,0.5,2.6,1.7,2.044,0.019,1.4,0.087
금본F,2016.04.06,7,7.9,182,12.7,1,3.1,2,1.675,0.012,2,1.77
금본F,2016.04.12,7.4,8.3,181,13.1,0.8,3,1.1,1.297,0.017,1.7,1.781
금본A,2016.04.15,14.7,7.8,177,10.6,2.9,6.6,9.1,3.977,0.112,3.4,5.679
금본B,2016.04.15,14.5,7.9,138,12.4,0.4,3.2,1.4,2.462,0.008,1.6,7.963
금본B1,2016.04.15,11.3,7.7,115,11.6,0.6,3,2.6,2.32,0.007,1.3,1.937
금본B2,2016.04.15,13.5,7.9,97,11.6,0.7,2.9,2.5,2.751,0.004,1.2,2.037
금본C,2016.04.15,15.6,8,124,10.8,0.9,3.4,3.2,2.339,0.007,1.5,13.368
금본C1,2016.04.15,16,8.7,134,11.9,0.6,3.1,2.7,2.649,0.005,1.9,7.309
금본D,2016.04.15,15.6,7.7,140,10.6,0.3,3.5,3.4,2.41,0.009,1.5,23.367
금본E,2016.04.15,17.1,7.7,148,9.9,0.8,3.7,3.7,2.486,0.02,1.7,32.522
금본F1,2016.04.15,13.2,6.9,89,11.4,0.6,2.3,0.8,2.295,0.006,1.1,0.475
금본F2,2016.04.15,16,7.5,270,11.7,1.3,4,5.3,2.57,0.022,2,0.369
보청A,2016.04.15,14.2,7.3,208,11.6,1.8,4.6,8.8,2.156,0.007,2,6.47
초강A,2016.04.15,16,7.4,142,10.9,0.8,3.8,3.2,2.574,0.017,1.7,7.564
초강A1,2016.04.15,15.3,7.5,145,11.5,0.7,4,2.3,2.09,0.016,1.4,0.379
금본A,2016.04.18,10.6,7.7,118,12.3,0.5,4.4,10.6,2.958,0.045,2.1,19.45
금본B,2016.04.18,12.4,7.5,128,10.8,0.5,3.4,1.6,2.228,0.012,1.6,7.692
금본B1,2016.04.18,10.3,7.6,77,12.9,0.1,3.1,2.9,1.655,0.022,1.5,4.96
금본B2,2016.04.18,11.2,7.5,81,11.2,0.4,2.4,1.8,2.447,0.017,1.1,10.214
금본C,2016.04.18,13.4,7.9,106,11.4,0.5,4,4.5,1.893,0.024,2.1,36.03
금본C1,2016.04.18,13.2,7.6,89,11.9,0.4,3.7,3.8,1.922,0.025,1.9,25.363
금본D,2016.04.18,13.5,7.3,125,10.4,0.5,3.7,6.6,1.964,0.023,1.8,54.072
금본E,2016.04.18,14.7,7.3,146,11,0.9,5,7.4,2.238,0.03,2.6,69.575
금본F1,2016.04.18,13.7,7.4,83,10.6,0.5,2.3,1.4,2.258,0.021,1.5,1.139
금본F2,2016.04.18,11.6,7.7,236,11.7,0.5,3.9,6.1,2.633,0.038,2.1,1.426
보청A,2016.04.18,12.2,7.6,170,11.4,1.6,5.3,11.8,2.538,0.055,2.6,15.765
초강A,2016.04.18,14.2,7.3,141,10.7,1,4.9,5.3,2.15,0.028,2.8,16.241
초강A1,2016.04.18,13.2,8,117,11.9,0.4,4.4,3.2,2.421,0.022,2.5,1.434
금본F,2016.04.19,7.1,7.7,178,10.9,0.8,3.5,1.3,1.167,0.006,1.6,1.865
금본F,2016.04.25,9.9,7.8,178,11.8,0.8,3.8,2.4,1.261,0.003,1.8,1.838
금본A,2016.04.27,15.8,7.9,170,12.1,1.6,4.5,7.7,3.151,0.038,2.1,7.458
금본B,2016.04.27,13.2,7.8,137,13.3,0.8,5,1.4,2.008,0.004,1.5,7.903
금본B1,2016.04.27,12.5,8,118,14.1,1.3,3.6,4.4,1.979,0.011,2,2.604
금본B2,2016.04.27,14.2,7.9,100,12.9,0.8,2.6,3.6,2.276,0.003,1.1,2.56
금본C,2016.04.27,16.1,7.2,121,9.7,1.1,3.9,2.6,1.817,0.008,1.6,13.368
금본C1,2016.04.27,15.4,7.2,124,11.2,0.8,2.9,2.6,1.744,0.009,1.4,8.721
금본D,2016.04.27,16.6,7.4,132,9.3,0.8,3.3,3.9,1.804,0.011,1.6,23.999
금본E,2016.04.27,15.9,7.4,137,9.9,0.9,3.4,3.2,1.964,0.011,1.8,33.476
금본F1,2016.04.27,12.8,7.5,112,11.1,0.6,2.9,2.6,2.801,0.005,1.3,0.44
금본F2,2016.04.27,14.8,7.5,332,10.7,1,4.1,3.7,2.598,0.015,1.9,0.941
보청A,2016.04.27,15.4,7.7,238,12.5,1,4.3,4.8,2.541,0.018,2.3,5.172
초강A,2016.04.27,16,7.7,137,12,0.9,3.9,3.9,1.993,0.015,1.9,7.564
초강A1,2016.04.27,13.5,7.8,145,12.6,0.8,3.8,4.4,2.369,0.007,1.8,0.446
금본F,2016.05.02,8.5,6.8,182,14,0.8,3,1.4,1.404,0.012,1.8,
금본A,2016.05.09,17,8.3,177,10.6,1.4,5,11.3,4.126,0.079,2.4,5.606
금본B,2016.05.09,16,7.3,134,9.2,0.5,3.2,1,2.261,0.011,1.6,6.925
금본B1,2016.05.09,14.3,7.9,114,11.8,1,3.6,5.7,2.252,0.025,1.7,1.262
금본B2,2016.05.09,16.8,7.9,109,9.4,0.7,2.8,3.3,2.35,0.004,1.3,1.472
금본C,2016.05.09,19.9,8,124,9.2,1,3.6,2.4,1.817,0.015,2,3.923
금본C1,2016.05.09,18.4,7.7,131,10.9,0.8,3.6,2.2,1.827,0.011,1.7,6.143
금본D,2016.05.09,19.6,7.1,135,9.2,0.7,4,2.1,1.789,0.007,1.9,16.073
금본E,2016.05.09,20.9,7.8,144,9.6,0.9,3.8,2,1.901,0.008,2.1,22.117
금본F1,2016.05.09,16.8,7.6,116,9.1,0.4,2.7,1,2.237,0.002,1.4,0.166
금본F2,2016.05.09,18.5,7.7,335,10.6,1.1,4.3,4.7,2.473,0.027,2.1,0.339
보청A,2016.05.09,18.8,7.7,267,10.5,1.2,4.6,5.5,3.319,0.019,2.6,2.627
초강A,2016.05.09,20.2,7.4,158,9.2,1.2,4.4,2.4,2.009,0.011,2.4,3.792
초강A1,2016.05.09,18.6,7.6,167,10.6,1.1,4,2.2,2.268,0.006,2.2,0.24
금본F,2016.05.10,7.8,7.4,180,11.1,0.8,2.7,1.9,1.548,0.001,1.7,31.557
금본F,2016.05.16,7.6,7.3,181,11.2,0.5,2.8,1.3,1.108,0,1.9,32.64
금본A,2016.05.19,19.1,7.9,179,10.1,1.7,5.3,10,3.94,0.086,2.4,4.407
금본B,2016.05.19,18.2,7.5,131,14.2,0.6,2.5,1.2,2.272,0.012,1.6,6.743
금본B1,2016.05.19,17.2,7.7,129,10.8,1.5,4.3,13.7,2.542,0.085,2.3,1.526
금본B2,2016.05.19,20,7.8,111,13.4,0.8,3.4,4.6,2.492,0.033,1.7,1.45
금본C,2016.05.19,21.7,7.9,129,10.3,1.3,3.7,2.7,1.844,0.015,1.9,5.711
금본C1,2016.05.19,22.2,8.2,149,12.5,1.2,3.7,3.6,1.949,0.027,2,5.511
금본D,2016.05.19,21.2,7.2,142,8.6,0.9,3.8,4,1.845,0.018,1.9,14.708
금본E,2016.05.19,23.4,8.5,145,10.5,0.9,3.6,2.1,1.856,0.015,2,20.571
금본F1,2016.05.19,19.8,7.1,116,12.4,0.8,3.8,0.5,2.236,0.013,1.4,0.242
금본F2,2016.05.19,22.2,7.8,358,10.6,1.7,4.7,7,2.697,0.049,2.6,0.162
보청A,2016.05.19,20.4,7.3,264,9.8,1.1,5.5,5.3,2.815,0.032,3.3,4.028
초강A,2016.05.19,22.5,7.5,165,9.3,1.2,5.1,3.5,2.115,0.024,2.6,4.172
초강A1,2016.05.19,20.3,7.3,172,10,1,3.9,2.4,2.207,0.016,2.1,0.215
금본A,2016.05.23,20.2,8,195,9.8,1.5,5.3,6.9,3.262,0.067,2.8,3.43
금본B,2016.05.23,18.7,7.2,130,11.3,0.4,3.3,1,2.178,0.011,1.7,7.202
금본B1,2016.05.23,17.6,7.6,138,10.5,1.2,4.6,12.5,2.208,0.056,2.4,1.184
금본B2,2016.05.23,19.6,7.3,114,10.6,0.6,3.4,4.1,2.202,0.02,1.6,0.952
금본C,2016.05.23,21.9,8,133,10,1,4.1,4.6,1.601,0.012,2.1,4.35
금본C1,2016.05.23,22.8,8.4,149,13.1,1.2,4.2,4.1,1.746,0.033,2,3.862
금본D,2016.05.23,22.1,7,147,7.7,0.6,3.9,3.8,1.511,0.018,2,10.145
금본E,2016.05.23,24.2,8.9,158,11.7,0.7,3.7,2.7,1.429,0.018,2.2,16.258
금본F1,2016.05.23,20.4,7.3,130,7.6,0.5,2.6,2.2,1.92,0.018,1.3,0.079
금본F2,2016.05.23,23,7.9,387,10.8,1.6,5.3,7.9,2.392,0.043,2.8,0.112
보청A,2016.05.23,21,7.5,288,10.9,0.8,5.2,6.5,2.152,0.026,3.1,2.239
초강A,2016.05.23,23.4,7.7,177,9.5,0.7,4.5,3.5,1.435,0.026,2.7,3.101
초강A1,2016.05.23,19.2,7.4,185,10.4,1,3.6,3,1.275,0.02,1.9,0.05
금본F,2016.05.24,8.6,7.3,180,11.8,1.1,3.2,6.5,1.16,0,2.1,48.915
금본F,2016.05.30,9.3,7.1,181,11.5,0.8,3.4,1.5,1.303,0,1.8,52.072
금본A,2016.06.02,21.5,7.6,211,10.8,1.3,5.5,6.6,3.22,0.046,3.5,2.529
금본B,2016.06.02,19,7.3,132,8.5,0.4,2.9,1.5,2.11,0.012,2.1,9.057
금본B1,2016.06.02,19.1,7.6,149,10.9,1,4.4,7.8,2.291,0.034,2.9,0.956
금본B2,2016.06.02,21.1,7.4,116,8,0.5,3.2,5.1,1.937,0.015,2.1,0.739
금본C,2016.06.02,23.3,7.8,138,8.7,1.7,4.3,5.9,1.525,0.024,3,9.847
금본C1,2016.06.02,24.1,8.6,157,12.7,0.8,4,3.7,1.487,0.027,2.7,2.343
금본D,2016.06.02,23.3,7.8,154,9.4,0.7,3.8,3.8,1.338,0.017,2.8,8.182
금본E,2016.06.02,25.7,9.4,170,13.6,1.1,4.1,2.4,1.16,0.015,2.9,13.039
금본F1,2016.06.02,22.8,7.4,145,6.1,0.4,2.5,0.8,1.144,0.01,2.1,0.03
금본F2,2016.06.02,24.1,8.1,416,9.7,0.9,5.1,5.6,1.66,0.029,3.8,0.119
보청A,2016.06.02,22.2,7.8,288,9.1,1,4.6,4.8,2.001,0.016,3.6,1.955
초강A,2016.06.02,26.1,9.1,185,12.1,1.1,4.5,2.9,0.995,0.019,3.3,1.98
초강A1,2016.06.02,19.1,7.2,196,8.8,0.7,3.7,2.6,0.78,0.017,2.3,0.014
금본A,2016.06.08,20.8,8,216,8.9,1.5,5.4,11.5,3.091,0.061,3.1,2.978
금본B,2016.06.08,18.9,7.3,131,9.4,0.5,2.9,1.5,2.097,0.013,1.6,11.209
금본B1,2016.06.08,19,7.3,155,9.8,0.9,4.3,9.1,2.301,0.046,2.2,1.05
금본B2,2016.06.08,20.2,7.2,112,9.2,0.5,3.2,3.9,1.775,0.026,1.5,0.673
금본C,2016.06.08,22.3,7.7,137,9,0.5,3.4,3.8,1.592,0.018,1.8,7.18
금본C1,2016.06.08,23.1,7.8,184,11.7,0.8,4.1,3.2,1.558,0.029,2,2.38
금본D,2016.06.08,23.7,7.4,152,8.6,0.5,3.4,3.5,1.458,0.019,2,11.428
금본E,2016.06.08,24.5,8.8,165,10.4,0.9,3.6,2.4,1.056,0.021,2.2,15.587
금본F1,2016.06.08,20.5,7.1,148,5.8,0.4,2.1,0.2,1.036,0.014,0.9,0.03
금본F2,2016.06.08,22.3,7.7,448,9.7,0.8,5.3,5.5,1.817,0.041,2.9,0.09
보청A,2016.06.08,21.8,7.7,303,8.7,0.9,6,5.9,1.971,0.031,3.2,2.086
초강A,2016.06.08,24.9,8.7,196,11,0.8,4.2,3.1,0.723,0.024,2.6,2.103
초강A1,2016.06.08,20.3,7.3,198,8.4,0.8,4.1,2.5,1.336,0.026,2.4,0.025
금본F,2016.06.09,9.9,7.1,178,10.2,0.6,2.8,1.7,1.497,0.003,2,45.967
